"long";"lat";"spec"
16.87;47.95;"antennatus"
16.54;47.78;"antennatus"
17;47.98;"antennatus"
16.26;48.12;"antennatus"
16.7;48.26;"antennatus"
16.75;47.85;"antennatus"
16.29;48.08;"antennatus"
15.26;48.47;"antennatus"
16.82;48.3;"antennatus"
16.44;48.24;"antennatus"
46.3656;34.1692;"germanicus"
6.03;51.23;"germanicus"
10.02798;49.01946;"germanicus"
14.09;50.42;"sepultor"
41.1617;39.7933;"sepultor"
41.1617;39.7933;"sepultor"
41.1617;39.7933;"sepultor"
41.1617;39.7933;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
13.79162;51.17497;"sepultor"
8.91667;50.13333;"sepultor"
23.65;52.73;"sepultor"
13.7749;55.5907;"vestigator"
10.22624;50.74219;"vestigator"
1.28241;52.0572;"vestigator"
1.13676;52.06117;"vestigator"
-0.28647;52.59628;"vestigator"
13.5558;55.6791;"vestigator"
1.7569;52.49282;"vestigator"
0.56939;52.34472;"vestigator"
14.1909;55.7606;"vestigator"
14.1942;55.757;"vestigator"
0.59424;52.33024;"vestigator"
13.79162;51.17497;"vestigator"
13.55;55.6402;"vestigator"
0.98004;52.66336;"vestigator"
0.71368;52.38691;"vestigator"
-0.31686;53.14969;"vestigator"
14.1918;55.7372;"vestigator"
14.188;55.3837;"vestigator"
0.71368;52.38691;"vestigator"
-3.11269;51.3378;"vestigator"
0.72711;52.52106;"vestigator"
1.28901;52.14697;"vestigator"
1.28901;52.14697;"vestigator"
6.13;49.61;"vestigator"
-0.20001;52.43584;"vestigator"
-1.92911;50.75401;"vestigator"
-3.11269;51.3378;"vestigator"
0.29898;52.26981;"vestigator"
-0.54171;54.25169;"vestigator"
5.16548;52.21997;"vestigator"
5.91;50.76;"vestigator"
-4.09993;52.81711;"vestigator"
1.36754;51.24517;"vestigator"
-4.09993;52.81711;"vestigator"
8.91667;50.13333;"vestigator"
13.7164416666667;50.3739027777778;"antennatus"
13.7447583333333;50.3576305555556;"antennatus"
13.95583;50.26196;"antennatus"
13.94905;50.26819;"antennatus"
13.96909;50.29132;"antennatus"
13.8793416666667;50.3483777777778;"antennatus"
14.0055388888889;50.3970861111111;"antennatus"
16.6515091666667;49.1009191666667;"antennatus"
16.5056330555556;49.0025847222222;"antennatus"
16.5839691666667;49.0634380555556;"germanicus"
16.5020422222222;49.0376758333333;"germanicus"
16.6466916666667;48.9607133333333;"germanicus"
16.9753638888889;49.7994416666667;"germanicus"
13.94811;50.2615;"germanicus"
13.7760861111111;50.35095;"germanicus"
13.8903694444444;50.3748777777778;"germanicus"
13.9139305555556;50.3627777777778;"germanicus"
13.9696361111111;50.3842361111111;"germanicus"
16.6251669444444;49.11825;"germanicus"
16.5364658333333;49.0378347222222;"germanicus"
16.5200022222222;49.0170319444444;"germanicus"
16.5333711111111;48.993905;"germanicus"
16.5764233333333;48.9862594444444;"germanicus"
16.6141119444444;48.9837538888889;"germanicus"
16.649445;48.9867611111111;"germanicus"
16.865765;48.8098227777778;"germanicus"
13.95583;50.26196;"germanicus"
13.94905;50.26819;"germanicus"
13.96909;50.29132;"germanicus"
13.8793416666667;50.3483777777778;"germanicus"
14.0055388888889;50.3970861111111;"germanicus"
16.6515091666667;49.1009191666667;"germanicus"
16.5056330555556;49.0025847222222;"germanicus"
15.3464686111111;49.9467175;"sepultor"
15.3851505555556;49.9275;"sepultor"
15.4494477777778;49.9357202777778;"sepultor"
15.3241555555556;49.9869316666667;"sepultor"
15.2475230555556;49.9965969444444;"sepultor"
15.2645777777778;50.0091083333333;"sepultor"
15.2645777777778;50.0091083333333;"sepultor"
15.265375;49.9906305555556;"sepultor"
15.3249472222222;49.9587388888889;"sepultor"
15.3574222222222;49.9574944444444;"sepultor"
15.4055138888889;49.9518861111111;"sepultor"
15.4201472222222;49.9436027777778;"sepultor"
15.4578138888889;49.9430833333333;"sepultor"
15.4648055555556;49.9135722222222;"sepultor"
15.3105611111111;49.9710388888889;"sepultor"
13.93614;50.24565;"sepultor"
13.95339;50.2524;"sepultor"
13.6948916666667;50.3310555555556;"sepultor"
13.7030444444444;50.3474611111111;"sepultor"
16.8947108333333;48.7986844444444;"sepultor"
16.9295944444444;49.8261916666667;"sepultor"
13.7164416666667;50.3739027777778;"sepultor"
13.7447583333333;50.3576305555556;"sepultor"
13.94811;50.2615;"sepultor"
13.7760861111111;50.35095;"sepultor"
13.8903694444444;50.3748777777778;"sepultor"
13.9139305555556;50.3627777777778;"sepultor"
13.9696361111111;50.3842361111111;"sepultor"
16.6251669444444;49.11825;"sepultor"
16.5364658333333;49.0378347222222;"sepultor"
16.5200022222222;49.0170319444444;"sepultor"
16.5333711111111;48.993905;"sepultor"
16.5764233333333;48.9862594444444;"sepultor"
16.6141119444444;48.9837538888889;"sepultor"
16.649445;48.9867611111111;"sepultor"
16.865765;48.8098227777778;"sepultor"
13.95583;50.26196;"sepultor"
13.94905;50.26819;"sepultor"
13.96909;50.29132;"sepultor"
13.8793416666667;50.3483777777778;"sepultor"
14.0055388888889;50.3970861111111;"sepultor"
16.6515091666667;49.1009191666667;"sepultor"
16.5056330555556;49.0025847222222;"sepultor"
13.94811;50.2615;"sepultor"
13.7760861111111;50.35095;"sepultor"
13.8903694444444;50.3748777777778;"sepultor"
13.9139305555556;50.3627777777778;"sepultor"
13.9696361111111;50.3842361111111;"sepultor"
16.6251669444444;49.11825;"sepultor"
16.5364658333333;49.0378347222222;"sepultor"
16.5200022222222;49.0170319444444;"sepultor"
16.5333711111111;48.993905;"sepultor"
16.5764233333333;48.9862594444444;"sepultor"
16.6141119444444;48.9837538888889;"sepultor"
16.649445;48.9867611111111;"sepultor"
16.865765;48.8098227777778;"sepultor"
13.95583;50.26196;"sepultor"
13.94905;50.26819;"sepultor"
13.96909;50.29132;"sepultor"
13.8793416666667;50.3483777777778;"sepultor"
14.0055388888889;50.3970861111111;"sepultor"
16.6515091666667;49.1009191666667;"sepultor"
16.5056330555556;49.0025847222222;"sepultor"
58.504;37.902;"antennatus"
38.807;37.912;"antennatus"
58.403;37.942;"antennatus"
70.849;39.118;"antennatus"
70.849;39.118;"antennatus"
18.229;46.076;"antennatus"
18.129;47.763;"antennatus"
18.714;47.795;"antennatus"
17.996;47.985;"antennatus"
17.97;48.02;"antennatus"
17.846;48.106;"antennatus"
17.846;48.106;"antennatus"
17.876;48.151;"antennatus"
18.455;48.181;"antennatus"
18.593;48.215;"antennatus"
16.207;48.744;"antennatus"
16.876;49.154;"antennatus"
16.758;49.167;"antennatus"
17.077;49.579;"antennatus"
16.31;49.873;"antennatus"
14.909;50.095;"antennatus"
14.053;50.388;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
14.11;50.419;"antennatus"
